lsoa21nm,homes,candidates,deep_retrofit,mean_priority,mean_fuel_poverty,median_income_decile,tier0_urgent,candidate_rate_%
Hammersmith and Fulham 001B,547,394,30,41.73300698894848,18.3,2.0,329,72.0
Hammersmith and Fulham 001E,499,358,21,40.82112332112332,18.3,2.0,303,71.7
Hammersmith and Fulham 003B,325,161,87,31.06722081337466,10.5,3.0,30,49.5
Hammersmith and Fulham 003A,430,226,67,29.153124290115564,10.8,3.0,70,52.6
Hammersmith and Fulham 003C,477,262,18,28.51552680955196,12.6,2.0,80,54.9
Hounslow 001D,26,15,7,28.463622381891607,10.5,8.0,1,57.7
Hammersmith and Fulham 019D,298,166,35,27.999015106817122,10.7,3.0,34,55.7
Hammersmith and Fulham 008C,252,153,60,27.965134237455665,10.7,9.0,7,60.7
Hammersmith and Fulham 009C,272,163,42,27.7048193075307,10.1,6.0,9,59.9
Hammersmith and Fulham 013E,349,177,44,27.333173929699715,10.9,2.0,31,50.7
Hammersmith and Fulham 002A,545,262,52,26.88027886995777,12.5,2.0,73,48.1
Hammersmith and Fulham 011D,349,202,42,26.84701143332948,9.2,5.0,18,57.9
Hammersmith and Fulham 001D,251,134,20,26.114683512591878,11.7,3.0,21,53.4
Hammersmith and Fulham 006E,325,167,30,25.724584976988815,11.2,3.0,33,51.4
Hammersmith and Fulham 004C,362,181,37,25.697374678728266,10.7,3.0,43,50.0
Hammersmith and Fulham 009D,377,219,51,24.810291388540726,10.3,7.0,6,58.1
Hammersmith and Fulham 006D,336,182,46,24.331120268620268,9.5,5.0,6,54.2
Hammersmith and Fulham 021B,387,211,52,23.95109399106492,9.2,6.0,9,54.5
Hammersmith and Fulham 023A,570,321,64,23.759665924961975,9.8,5.0,8,56.3
Hammersmith and Fulham 013C,371,184,45,23.686113929122687,10.0,4.0,28,49.6
Hammersmith and Fulham 010C,360,142,49,23.434163444580108,12.7,3.0,43,39.4
Hammersmith and Fulham 004D,378,192,34,23.336342431084493,9.6,3.0,24,50.8
Ealing 024F,60,32,10,23.3108402014652,8.6,6.0,1,53.3
Hammersmith and Fulham 014A,368,214,40,23.14726543836598,9.3,7.0,10,58.2
Hammersmith and Fulham 021D,366,227,61,23.032186392842128,10.2,10.0,5,62.0
Hammersmith and Fulham 007A,534,251,55,22.947978402683457,12.0,5.0,45,47.0
Hammersmith and Fulham 006C,412,157,51,22.851311983593533,13.2,2.0,34,38.1
Hammersmith and Fulham 012A,295,161,39,22.84552782434138,11.0,7.0,7,54.6
Hammersmith and Fulham 011A,365,156,46,22.77929357552645,9.7,4.0,31,42.7
Hammersmith and Fulham 019C,646,332,63,22.56641379561271,11.7,6.0,24,51.4
Hammersmith and Fulham 009A,331,163,28,22.56449796007953,11.3,5.0,24,49.2
Hammersmith and Fulham 003D,482,228,64,22.427111990130662,11.0,5.0,18,47.3
Hammersmith and Fulham 023D,329,151,41,22.154881592571563,9.6,3.0,10,45.9
Hammersmith and Fulham 012C,328,134,42,22.126496471008664,10.3,2.0,20,40.9
Hammersmith and Fulham 011C,388,164,49,22.047488057475167,9.9,4.0,34,42.3
Hammersmith and Fulham 008B,387,198,46,21.985832678662135,9.6,6.0,11,51.2
Hammersmith and Fulham 005D,374,172,31,21.77568244663833,12.1,4.0,21,46.0
Hammersmith and Fulham 004A,441,180,53,21.771595161263523,11.0,3.0,34,40.8
Hammersmith and Fulham 002D,457,114,87,21.77053025384535,16.3,1.0,30,24.9
