dataset_idx,title,notes_snippet,tag,heuristic,human
108,Workflow Diagram: Buildings: Retrofit,"These workflow diagrams show the data inputs, processing steps, assumptions and outputs for the domestic and non-domestic building stock retrofit modelling.",retrofit,Good,Good
108,Workflow Diagram: Buildings: Retrofit,"These workflow diagrams show the data inputs, processing steps, assumptions and outputs for the domestic and non-domestic building stock retrofit modelling.",workflow,Good,Good
108,Workflow Diagram: Buildings: Retrofit,"These workflow diagrams show the data inputs, processing steps, assumptions and outputs for the domestic and non-domestic building stock retrofit modelling.",buildings,Good,Good
108,Workflow Diagram: Buildings: Retrofit,"These workflow diagrams show the data inputs, processing steps, assumptions and outputs for the domestic and non-domestic building stock retrofit modelling.",workflow diagram,Good,Good
108,Workflow Diagram: Buildings: Retrofit,"These workflow diagrams show the data inputs, processing steps, assumptions and outputs for the domestic and non-domestic building stock retrofit modelling.",diagram,Good,Good
1147,DEPRECATED: Number of eligible pupils with English as additional language (EAL),Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,number eligible,Good,Good
1147,DEPRECATED: Number of eligible pupils with English as additional language (EAL),Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,eligible pupils,Good,Good
1147,DEPRECATED: Number of eligible pupils with English as additional language (EAL),Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,additional,Good,Good
1147,DEPRECATED: Number of eligible pupils with English as additional language (EAL),Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,english,Good,Good
1147,DEPRECATED: Number of eligible pupils with English as additional language (EAL),Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,eligible,Good,Good
2461,Other European language (EU): Lithuanian %,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,language,Good,Good
2461,Other European language (EU): Lithuanian %,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,language eu,Good,Good
2461,Other European language (EU): Lithuanian %,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,european language,Good,Good
2461,Other European language (EU): Lithuanian %,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,services,Okay,Okay
2461,Other European language (EU): Lithuanian %,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,european,Good,Good
2717,Males aged 75 to 84 %,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,housing led,Okay,Okay
2717,Males aged 75 to 84 %,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,led,Okay,Okay
2717,Males aged 75 to 84 %,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,75 84,Bad,Bad
2717,Males aged 75 to 84 %,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,population projections,Good,Good
2717,Males aged 75 to 84 %,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,projections,Okay,Okay
4653,% aged under 18 years - Persons - <18 yrs (Upper 99.8% Confidence Limit),Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,18,Bad,Bad
4653,% aged under 18 years - Persons - <18 yrs (Upper 99.8% Confidence Limit),Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,18 years,Good,Good
